actor_id,actor_name,category,title_id,title,year,release_date,type,budget_currency,budget,budget_USD,boxoffice_currency,World-wide,International,Domestic,MCU_film,award_name,award_category,event_name,winner,nomination_year
nm0001570,Edward Norton,actor,tt0117381,Primal Fear,1996,1996-04-03,movie,USD,30000000,30000000,USD,102616183,46500000,56116183,0,Oscar,Best Actor in a Supporting Role,"Academy Awards, USA",Nominated,1997
nm0636201,Edward Norton,actor,tt0012695,The Single Track,NA,1921-11-13,movie,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt10168312,What If...?,NA,2021-08-11,tvSeries,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt10168312,What If...?,NA,2021-08-11,tvSeries,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt9140554,Loki,NA,2021-06-09,tvSeries,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt8936646,Extraction,NA,2020-04-24,movie,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt6521876,Jay and Silent Bob Reboot,2019,2019-10-15,movie,USD,10000000,10000000,USD,4691248,101758,4589490,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt2283336,Men in Black: International,2019,2019-06-14,movie,USD,110000000,110000000,USD,253890701,173888894,80001807,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt4154796,Avengers: Endgame,2019,2019-04-26,movie,USD,356000000,356000000,USD,2797501328,1939128328,858373000,1,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt4154796,Avengers: Endgame,2019,2019-04-26,movie,USD,356000000,356000000,USD,2797501328,1939128328,858373000,1,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt6628394,Bad Times at the El Royale,2018,2018-10-12,movie,USD,32000000,32000000,USD,31882724,14043609,17839115,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt4154756,Avengers: Infinity War,2018,2018-04-27,movie,USD,321000000,321000000,USD,2048359754,1369544272,678815482,1,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt4154756,Avengers: Infinity War,2018,2018-04-27,movie,USD,321000000,321000000,USD,2048359754,1369544272,678815482,1,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt1413492,12 Strong,2018,2018-01-19,movie,USD,35000000,35000000,USD,67450815,21631102,45819713,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt3501632,Thor: Ragnarok,2017,2017-11-03,movie,USD,180000000,180000000,USD,853983911,538925622,315058289,1,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt3501632,Thor: Ragnarok,2017,2017-11-03,movie,USD,180000000,180000000,USD,853983911,538925622,315058289,1,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt1211837,Doctor Strange,2016,2016-11-04,movie,USD,165000000,165000000,USD,677796076,445154156,232641920,1,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt1289401,Ghostbusters,2016,2016-07-15,movie,USD,144000000,144000000,USD,229147509,100796935,128350574,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt2381991,The Huntsman: Winter's War,2016,2016-04-22,movie,USD,115000000,115000000,USD,164989338,116599148,48390190,0,NA,NA,NA,NA,NA
nm1165110,Chris Hemsworth,actor,tt1390411,In the Heart of the Sea,2015,2015-12-11,movie,USD,100000000,100000000,USD,93920758,68900000,25020758,0,NA,NA,NA,NA,NA
